0	1	2	3	4	5	6
113.0	119.0	114.0	117.0	117.0	107.0	116.0
114.0	119.0	114.0	117.0	117.0	107.0	116.0
115.0	119.0	114.0	117.0	117.0	107.0	116.0
116.0	119.0	115.0	117.0	117.0	107.0	116.0
117.0	119.0	116.0	117.0	117.0	107.0	116.0
118.0	119.0	116.0	117.0	117.0	107.0	116.0
119.0	119.0	116.0	117.0	117.0	107.0	116.0
120.0	119.0	116.0	117.0	117.0	107.0	116.0
121.0	119.0	116.0	117.0	117.0	107.0	116.0
122.0	119.0	116.0	117.0	117.0	107.0	116.0
123.0	119.0	116.0	117.0	117.0	107.0	116.0
124.0	119.0	116.0	117.0	117.0	107.0	116.0
125.0	119.0	116.0	117.0	117.0	107.0	116.0
126.0	119.0	116.0	117.0	117.0	107.0	116.0
127.0	119.0	116.0	117.0	117.0	107.0	116.0
128.0	119.0	116.0	117.0	117.0	107.0	116.0
129.0	119.0	116.0	117.0	117.0	107.0	116.0
130.0	119.0	116.0	117.0	117.0	107.0	116.0
131.0	119.0	116.0	117.0	117.0	107.0	116.0
132.0	119.0	116.0	117.0	119.0	107.0	116.0
133.0	119.0	116.0	117.0	119.0	107.0	116.0
134.0	119.0	116.0	117.0	119.0	107.0	116.0
135.0	119.0	116.0	119.0	119.0	110.0	116.0
136.0	119.0	116.0	119.0	119.0	110.0	116.0
137.0	119.0	116.0	119.0	119.0	110.0	116.0
138.0	119.0	116.0	119.0	119.0	110.0	116.0
139.0	119.0	116.0	119.0	119.0	110.0	116.0
140.0	119.0	116.0	119.0	119.0	110.0	116.0
141.0	119.0	116.0	119.0	119.0	110.0	116.0
142.0	119.0	116.0	119.0	119.0	110.0	116.0
143.0	119.0	116.0	119.0	119.0	110.0	116.0
144.0	119.0	116.0	119.0	119.0	111.0	119.0
145.0	119.0	116.0	119.0	119.0	112.0	119.0
146.0	119.0	116.0	119.0	119.0	113.0	119.0
147.0	119.0	116.0	119.0	119.0	114.0	119.0
148.0	119.0	116.0	119.0	119.0	116.0	119.0
149.0	119.0	116.0	119.0	119.0	117.0	119.0
150.0	119.0	116.0	119.0	119.0	118.0	119.0
151.0	119.0	117.0	119.0	119.0	119.0	119.0
152.0	119.0	118.0	120.0	119.0	120.0	119.0
153.0	120.0	119.0	121.0	119.0	121.0	120.0
154.0	121.0	120.0	122.0	120.0	129.0	121.0
155.0	133.0	125.0	127.0	125.0	140.0	135.0
156.0	148.0	129.0	129.0	126.0	141.0	142.0
157.0	149.0	130.0	130.0	127.0	142.0	142.0
158.0	150.0	131.0	131.0	128.0	143.0	142.0
159.0	151.0	132.0	132.0	129.0	144.0	142.0
160.0	152.0	133.0	133.0	130.0	145.0	142.0
161.0	153.0	134.0	134.0	131.0	146.0	142.0
162.0	154.0	135.0	135.0	132.0	147.0	142.0
163.0	157.0	139.0	149.0	145.0	153.0	150.0
164.0	158.0	140.0	176.0	159.0	164.0	151.0
165.0	159.0	141.0	176.0	160.0	165.0	152.0
166.0	160.0	142.0	176.0	166.0	166.0	153.0
167.0	161.0	143.0	176.0	167.0	167.0	154.0
168.0	162.0	144.0	176.0	168.0	168.0	155.0
169.0	163.0	145.0	176.0	169.0	169.0	156.0
170.0	167.0	151.0	176.0	170.0	170.0	157.0
171.0	168.0	152.0	176.0	171.0	171.0	158.0
172.0	172.0	172.0	176.0	172.0	172.0	172.0
173.0	173.0	173.0	176.0	173.0	173.0	173.0
174.0	174.0	174.0	176.0	174.0	174.0	174.0
175.0	175.0	175.0	176.0	175.0	175.0	175.0
176.0	176.0	176.0	176.0	176.0	176.0	176.0
177.0	177.0	177.0	177.0	177.0	177.0	177.0
178.0	178.0	178.0	178.0	178.0	178.0	178.0
179.0	179.0	179.0	179.0	179.0	179.0	179.0
