0	1	2	3	4	5	6	7	8	9	10	11	12	13
7.739037694467025	5.522601989816518	8.949770250362095	4.311869433921445	5.292543977131201	3.730628065647135	4.084166626545481	2.4180275604504806	1.3664829486257613	0.4969994431320283	3.12552408318969	5.261317200451115	0.9552797888525938	4.4649010134577845
7.625731836890516	5.543393989736628	8.881342718312192	4.287783108314983	5.418235477754391	3.5692136503508483	3.9987007839490705	2.366568703236109	1.3184385287878277	0.49598747123433906	3.1874584656587612	5.291289872069924	0.8846414437371827	4.3709774472219065
7.538162089747441	5.566106054787323	8.813189997495497	4.291078147039305	5.518049903673167	3.5067663321664884	3.9422263823746797	2.4132779757769867	1.2963096057349808	0.35495728298331874	3.181549487065675	5.329563438281444	0.9057096685910245	4.275516860436815
7.418763106783186	5.5524162151816085	8.849314965646519	4.121864356318255	5.567941942630836	3.379551150160843	3.8773381024126525	2.3916159027799737	1.3165693309856856	0.3412537701947644	3.031372785889103	5.318260893113989	1.037020060929464	4.206356531394189
7.345309324371517	5.569262167922539	8.805003001763186	4.1095684905308945	5.651668525568382	3.397960088913148	3.830185623167576	2.3964312291514713	1.2955606846240384	0.3074873623241384	3.0741161481949715	5.29974810056845	1.0134366463978115	4.191332172036758
7.35081328980687	5.509432404544942	8.871363711534954	3.988881982816894	5.717839837846694	3.383291535105595	3.8277244026681285	2.2793732542062575	1.289559966587816	0.3684073604385297	3.078308285112365	5.299134646155003	0.9765701521410798	4.186200108499954
7.371616985907466	5.50912935055596	8.86138232817777	4.0193640082857	5.750491339870234	3.3496343338997576	3.7954606212371504	2.3222517481789517	1.295212488236492	0.36196490969016115	3.0627356989577947	5.298138165826232	0.9838691212370931	4.178820727523099
7.355403500099	5.458225030923924	8.858869278505264	3.9547592525176998	5.792475176929766	3.321459214065218	3.8193506675461357	2.34334328048112	1.2810840175178493	0.31683275915609715	3.096679838092284	5.301807277347156	0.9347689849363151	4.187498516514179
7.359195701603535	5.441016416179342	8.868376814734047	3.931835303048878	5.800998987833414	3.280002306428592	3.827844352295522	2.372031016766335	1.2642632177994584	0.3180587170455704	3.081228310142569	5.329529299208833	0.9432225986228691	4.185263325570158
7.4028192815994	5.42075846140479	8.867382307025714	3.9561954359785076	5.794764736154871	3.2658375409621563	3.8119073841549977	2.3731184927190907	1.2785345951472988	0.33797121955507076	3.05392110282872	5.339297740215641	0.9404804425743968	4.167417648426692
7.455727159038989	5.418307084310928	8.848427031999218	4.025607211350751	5.778961443873897	3.254878982202804	3.8058270442580366	2.4226412592302635	1.2845081196181691	0.3641233750497908	3.041742492128934	5.367438573729601	0.9407671994502635	4.165416636598079
7.50854213269853	5.4244464264186085	8.844778017997085	4.088210541120053	5.754724498498713	3.2480448319457005	3.8033930455475864	2.425008739248835	1.2866984092829432	0.3903881167760221	3.0305159294466364	5.385252989682925	0.9316499851800314	4.151511521896613
7.614647492272032	5.460269492971565	8.825327616787053	4.249589368456604	5.706982223251367	3.2987365916066964	3.8138964557929	2.4324488155197197	1.2772718898813613	0.4182968739045103	3.0436498120766724	5.38371574503842	0.899874182429663	4.220370913713238
7.619407131418036	5.394085480487219	8.792484433698897	4.221008178206379	5.757709215091542	3.3570357326394884	3.892268735295317	2.3910614828345564	1.261930896056007	0.4335474960341239	3.0509669597281057	5.381854215967092	0.9221045406199903	4.218951304569144
7.624366442887175	5.4020845335711885	8.780780677195343	4.24567029926309	5.748179958393124	3.3652734884433646	3.8792733594519775	2.397815500685255	1.2679477949287268	0.4333148927958396	3.0505487917804484	5.369491816091841	0.9215455821785697	4.205804327551942
7.674033644695661	5.35699034668053	8.772569107599685	4.25845488377649	5.741410083970913	3.364313350426498	3.836473741376995	2.4119417739538536	1.3091891061586407	0.4136089492750668	3.062364403847662	5.393757937656795	0.9166960607947438	4.1860370760364916
7.68808024919936	5.3711103439122745	8.75972760857069	4.299462984541017	5.687409216997724	3.3380768802873884	3.868392961227786	2.468572870201864	1.2816300486813026	0.43946801463158747	3.042376939375119	5.419309047470907	0.9709709124053781	4.178137363028472
7.724788692849433	5.379043445393953	8.789015150939443	4.314816987303952	5.631904025693423	3.3698833999898095	3.884953437747546	2.4060080695479633	1.273764584992466	0.4530788976799276	3.049616659271052	5.411068551835427	0.9686206931819962	4.177195862380283
7.7469685523921425	5.351937587813647	8.759600427255256	4.339305712950512	5.625257868554176	3.358630184472462	3.885786661597413	2.4401349682738367	1.2798943252770443	0.4474518777363725	3.0547221794816397	5.391473223736256	0.996439862265591	4.190850179983156
7.787504703796439	5.310128937845267	8.725495097108473	4.372138544533164	5.6030405501276945	3.34816835156909	3.89982053821403	2.4619445463381795	1.274196406200002	0.4673583053766195	3.0450192679434873	5.390750649354287	1.0392140025175338	4.197144561466026
7.8006105727505926	5.293256515535972	8.70670716397378	4.387159924312751	5.611702089696976	3.3353042980697034	3.8853202314122246	2.4831762288370616	1.2828836066394669	0.48087600163113864	3.069094419939816	5.395990292797315	1.0598320142591857	4.240390521220214
7.799668513874402	5.309623828667282	8.689066051542177	4.420226290999459	5.603815497983	3.3154537582822203	3.8769525687590334	2.5180465804257346	1.2827101866600117	0.4742137521649321	3.0857933484242	5.388577785923189	1.057572859282841	4.253355018936055
7.799668513874402	5.309623828667282	8.67372198655459	4.43557035598705	5.595266946686606	3.309773361670956	3.8855011200554217	2.5322262559660085	1.2827101866600117	0.46792797060082186	3.0857933484242	5.388577785923189	1.057572859282841	4.253355018936055
